DATE,START-TIME,END-TIME
2019-11-20,00:13:47.270026200,00:13:54.839721500
DATE,START-TIME,END-TIME
2019-11-20,00:16:56.276479100,00:17:03.136344100
DATE,START-TIME,END-TIME
2019-11-20,00:17:47.353555500,00:19:07.845089800
DATE,START-TIME,END-TIME
2019-11-20,00:19:32.716758400,00:20:41.416869200
DATE,START-TIME,END-TIME
2019-11-20,00:20:55.842392500,00:21:34.053598200
2019-11-20,00:23:18.653941500,00:23:54.518601200
2019-11-20,00:24:03.114303,00:24:20.385355300
2019-11-20,00:21:37.489828200,00:21:57.913294900
2019-11-20,00:22:11.022280900,00:22:40.328995300
DATE,START-TIME,END-TIME
2019-11-20,00:48:35.451875200,00:48:48.960738200
DATE,START-TIME,END-TIME
2019-11-20,00:54:02.107273700,00:54:54.563261900
2019-11-20,00:51:40.096958700,00:52:11.778812800
2019-11-20,00:52:15.525946500,00:52:47.694959100
